"Hull","Name","Name (Hull)","Ship Alt Title","Ship Type","Class","UIC","Status","Fleet","Date Status Last Changed","Homeport","Maintenance Category","Berth","Force","Builder","Award Date","Commission Date","Keel Date","Inactivation Date","Launch Date","Decommission Date","Delivery Date","InService Date","Out Service Date","Stricken Date","Overall Length","Waterline Length","Extreme Beam","Waterline Beam","Max Navigational Draft","Draft Limit","Light Displacement","Full Displacement","Dead Weight","Hull Material","No. of Propellers","No. of Waterjets","Propulsion Type","Accommodations Officers","Accommodations Enlisted","Custodian","Planning Yard","Nuclear Planning Yard","Ships Program Manager","Comments","Last Updated"
"YFNX 41","NO NAME","NO NAME (YFNX 41)","(ex - YFN 274)","LIGHTER (SPECIAL PURPOSE) (N-S-P)","","12560","Disposed of, sold by Defense Reutilization and Marketing Service (DRMS) for reuse/conversion","","05/07/1998","","","","","","","","","","","","","","","04/04/1995","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","08/29/2000"
"YFNX 42","NO NAME","NO NAME (YFNX 42)","(ex - YFN 1255)","LIGHTER (SPECIAL PURPOSE) (N-S-P)","YFNX 42","22715","Active, in service","","11/01/1982","","","","","Steel Style Inc.","08/01/1981","","","","","","06/01/1982","","","","110 ft","110 ft","35 ft","32 ft","8 ft","","","","","Steel hull, steel superstructure.","","","","","","SUBMARINE SQUADRON EIGHT, NORFOLK, VA (COMSUBRON 8)","Puget Sound Naval Shipyard & IMF","","PMS 325","","06/27/2018"
"YFNX 43","NO NAME","NO NAME (YFNX 43)","(ex - YFN 1271)","LIGHTER (SPECIAL PURPOSE) (N-S-P)","YFNX 43","22730","Active, in service","","08/01/1987","","","","","Eastern Marine","07/01/1985","","","","","","08/01/1987","","","","110 ft","94 ft","32 ft","32 ft","9 ft","9 ft","","","","Steel hull, steel superstructure.","","","","","","NORFOLK NAVAL SHIPYARD, PORTSMOUTH, VA (NAVSHIPYD)","Puget Sound Naval Shipyard & IMF","","PMS 325","","06/27/2018"
"YFNX 44","NO NAME","NO NAME (YFNX 44)","(ex - YFN 1238)","LIGHTER (SPECIAL PURPOSE) (N-S-P)","YFNX 44","20957","Sold through the General Services Administration (GSA) for reuse","","05/17/2000","","","","","Naval Shipyard Portsmouth","02/12/1968","","02/05/1969","","","","03/01/1973","","","02/05/1999","127 ft","127 ft","35 ft","35 ft","7 ft","","677 tons","722 tons","45 tons","Steel hull, steel superstructure.","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","08/29/2000"
"YFNX 45","NO NAME","NO NAME (YFNX 45)","(ex - YF 334, YC 813)","LIGHTER (SPECIAL PURPOSE) (N-S-P)","YFNX 45","22302","Active, in service","","05/16/1994","","","NAVSEA Inactive Ships On-site Maintenance Office, Bremerton, WA","","Naval Shipyard Puget Sound","09/25/1941","","02/20/1942","","05/09/1942","","05/31/1942","","","","110 ft","110 ft","35 ft","34 ft","8 ft","6 ft","120 tons","590 tons","470 tons","Steel hull, steel superstructure.","","","","","","NAVSEA INACTIVE SHIPS ON-SITE MAINTENANCE OFFICE, BREMERTON, WA","Puget Sound Naval Shipyard & IMF","","PMS 325","","06/27/2018"
"YFNX 46","NO NAME","NO NAME (YFNX 46)","(ex - YC 1084)","LIGHTER (SPECIAL PURPOSE) (N-S-P)","YFNX 46","22337","Active, in service","","12/24/1998","","","NAVSEA Inactive Ships On-site Maintenance Office, Bremerton, WA","","Soule Steel Co.","07/01/1944","","04/17/1945","","06/01/1945","","06/01/1945","","","","110 ft","110 ft","35 ft","34 ft","8 ft","6 ft","120 tons","590 tons","470 tons","Steel hull, steel superstructure.","","","","","","NAVSEA INACTIVE SHIPS ON-SITE MAINTENANCE OFFICE, BREMERTON, WA","Puget Sound Naval Shipyard & IMF","","PMS 325","","06/27/2018"
"YFNX 47","NO NAME","NO NAME (YFNX 47)","(ex - YC 1321, MC 2658 (BISECTED, FORE/HALF YCF 22, YCF 98)","LIGHTER (SPECIAL PURPOSE) (N-S-P)","YFNX 47","22437","Disposed of, sold by Defense Reutilization and Marketing Service (DRMS) for reuse/conversion","","11/17/2008","","","","","Sun Shipbuilding & Dry Dock Co.","","","","","","","10/01/1944","","","06/24/2003","125 ft","125 ft","34 ft","33 ft","6 ft","6 ft","190 tons","690 tons","500 tons","Steel hull, steel superstructure.","","","","2","23","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","05/04/2011"
"YFP 3","NO NAME","NO NAME (YFP 3)","(ex - YC 1114)","FLOATING POWER BARGE (N-S-P)","YFP 3","22753","Disposed of by transferring to the Local Redevelopment Authority (LRA)","","12/20/1999","","","","","United Engineering Co., Ltd.","","","02/27/1945","","04/01/1945","","04/01/1945","","","04/04/1995","110 ft","","","","","","170 tons","","","Steel hull, steel superstructure.","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","01/29/2003"
"YFP 10","NO NAME","NO NAME (YFP 10)","(ex - MC 2150)","FLOATING POWER BARGE (N-S-P)","YFP 10","","Disposed of by MARAD sale","","03/03/1975","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","08/11/2000"
"YFP 11","NO NAME","NO NAME (YFP 11)","(ex - YFN 1207)","FLOATING POWER BARGE (N-S-P)","YFP 11","22754","Disposed of by Dismantling (Scrapping/Recycling)","","09/20/2018","","","","","Gretna Machine & Iron Works Inc.","02/28/1964","","08/15/1964","","02/04/1965","","04/23/1965","","","10/07/2015","110 ft","110 ft","32 ft","32 ft","7 ft","7 ft","345 tons","622 tons","277 tons","Steel hull, steel superstructure.","","","","","","","","","","","09/21/2018"
"YFP 12","NO NAME","NO NAME (YFP 12)","(ex - YFN 1216)","FLOATING POWER BARGE (N-S-P)","","22755","Disposed of, sold by Defense Reutilization and Marketing Service (DRMS) by Exchange/Sale for reuse/conversion","","07/20/2001","","","","","Harbor Boat Building Co.","02/28/1964","","","","12/03/1964","","01/01/1965","","","05/19/1997","110 ft","110 ft","32 ft","32 ft","8 ft","8 ft","144 tons","694 tons","550 tons","Steel hull, steel superstructure.","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","10/17/2001"
"YFP 13","NO NAME","NO NAME (YFP 13)","(ex - YFN 1162)","FLOATING POWER BARGE (N-S-P)","","","Disposed of, by Navy Sale","","02/01/1976","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","08/29/2000"
"YFP 14","NO NAME","NO NAME (YFP 14)","","FLOATING POWER BARGE (N-S-P)","","62395","Disposed of by abandoning, burning, scuttling, or sinking","","06/18/1998","","","","","","","","","","","","","","","05/29/1991","","","","","","","","","","","","","","","","US NAVY","","","","","09/01/1998"
"YFR 443","NO NAME","NO NAME (YFR 443)","","REFRIGERATED COVERED LIGHTER (S-P)","YFR 443","","Stricken, to be disposed of by the Security Assistance Program (SAP), for cash sale","","10/01/1977","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","COLOMBIA","","","","","04/11/2007"
"YFR 888","NO NAME","NO NAME (YFR 888)","","REFRIGERATED COVERED LIGHTER (S-P)","YFR 443","18888","Disposed of in support of Fleet training exercise","","07/23/1987","","","","","Defoe Shipbuilding Co.","","","","","","","09/28/1945","","","02/15/1985","","","","","","","","","","","","","","","","US NAVY","","","","","06/07/2002"
"YFR 890","NO NAME","NO NAME (YFR 890)","","REFRIGERATED COVERED LIGHTER (S-P)","YFR 443","18890","Stricken, to be disposed of by abandoning, sinking, or burning","","10/01/1985","","X","","","Defoe Shipbuilding Co.","","","05/24/1945","","","","10/25/1945","","","10/01/1985","133 ft","","","","","","300 tons","","","Steel hull, steel superstructure.","2","","","","","US DEPARTMENT OF THE INTERIOR","","","","","06/07/2002"
"YFRN 385","NO NAME","NO NAME (YFRN 385)","(ex - YF 385)","REFRIGERATED COVERED LIGHTER (N-S-P)","YFRN 324","18385","Disposed of in support of Fleet training exercise","","09/17/1990","","","","","","","","09/17/1942","","","","","","","05/16/1990","153 ft","","","","","","","","","Steel hull, steel superstructure.","","","","","","","","","","","09/27/2017"
"YFRN 412","NO NAME","NO NAME (YFRN 412)","(ex - YF 412)","REFRIGERATED COVERED LIGHTER (N-S-P)","YFRN 324","52412","Disposed of in support of Fleet training exercise","","07/17/2001","","","","","","","","09/26/1942","","","","","","","05/16/1990","152 ft","","","","","","340 tons","","","Steel hull, steel superstructure.","","","","","","","","","","","09/27/2017"
"YFRN 997","NO NAME","NO NAME (YFRN 997)","(ex - YF 997)","REFRIGERATED COVERED LIGHTER (N-S-P)","YFRN 324","20401","Disposed of in support of Fleet training exercise","","07/17/2001","","","","","Naval Shipyard Long Beach","","","02/01/1945","","","","10/29/1945","","","05/16/1990","150 ft","","","","","","350 tons","","","Steel hull, steel superstructure.","","","","","","","","","","","09/27/2017"
"YFRN 1236","NO NAME","NO NAME (YFRN 1236)","(ex - BR 6436)","REFRIGERATED COVERED LIGHTER (N-S-P)","","20424","Disposed of, by Navy Sale","","08/01/1975","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","08/29/2000"
"YFRN 1256","NO NAME","NO NAME (YFRN 1256)","(ex - BRM 6234)","REFRIGERATED COVERED LIGHTER (N-S-P)","","","Stricken, to be disposed of by Navy sale","","03/01/1984","","X","","","","","","","","","","","","","03/01/1984","","","","","","","","","","","","","","","","US NAVY","","","","","12/05/2001"
"YFRN 1257","NO NAME","NO NAME (YFRN 1257)","(ex - BRM 6238)","REFRIGERATED COVERED LIGHTER (N-S-P)","","","Stricken, to be disposed of by Navy sale","","03/01/1984","","X","","","","","","","","","","","","","03/01/1984","","","","","","","","","","","","","","","","US NAVY","","","","","12/05/2001"
"YFRT 257","NO NAME","NO NAME (YFRT 257)","(ex - YF 257)","RANGE TENDER (S-P)","YFRT 257","18257","Disposed of, by Navy Sale","","06/01/1974","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","08/31/2001"
"YFRT 287","NO NAME","NO NAME (YFRT 287)","(ex - YF 287)","RANGE TENDER (S-P)","YFRT 257","18287","Disposed of, sold by Defense Reutilization and Marketing Service (DRMS) by Exchange/Sale for reuse/conversion","","12/20/2001","","","","","Naval Shipyard Norfolk","09/18/1940","","02/21/1941","","05/03/1941","","07/15/1941","","","03/03/1998","133 ft","132 ft","30 ft","30 ft","9 ft","10 ft","300 tons","650 tons","350 tons","Steel hull, steel superstructure.","2","","","","14","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","03/20/2002"
"YFRT 411","NO NAME","NO NAME (YFRT 411)","(ex - YF 411)","RANGE TENDER (S-P)","YFRT 257","18411","Disposed of, by Navy Sale","","06/01/1976","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","09/12/2000"
"YFRT 418","NO NAME","NO NAME (YFRT 418)","(ex - YF 418)","RANGE TENDER (S-P)","YFRT 257","18418","Stricken, to be disposed of by transfer to government agencies, activities, foreign countries (not SAP), MARAD, Sea Scouts, etc.","","02/01/1984","","X","Fort Eustis, VA","","","","","11/25/1942","","","","08/01/1943","","","02/01/1984","133 ft","","","","","","375 tons","","","Steel hull, steel superstructure.","2","","","","","MARITIME ADMINISTRATION (NATIONAL DEFENSE RESERVE FLEET)","","","","","09/27/2017"
"YFRT 419","NO NAME","NO NAME (YFRT 419)","(ex - YF 419)","RANGE TENDER (S-P)","YFRT 257","18419","Disposed of, by Navy Sale","","05/01/1975","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","08/29/2000"
"YFRT 451","NO NAME","NO NAME (YFRT 451)","(ex - YF 451)","RANGE TENDER (S-P)","YFRT 257","22756","Disposed of, sold by Defense Reutilization and Marketing Service (DRMS) for reuse/conversion","","06/10/1995","","","","","","","","","","","","","","","11/15/1993","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","07/03/2000"
"YFRT 519","NO NAME","NO NAME (YFRT 519)","(ex - YF 519)","RANGE TENDER (S-P)","YFRT 257","18519","Disposed of, by Navy Sale","","06/01/1976","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","09/12/2000"
"YFRT 520","NO NAME","NO NAME (YFRT 520)","(ex - YF 520)","RANGE TENDER (S-P)","YFRT 257","22757","Disposed of in support of Fleet training exercise","","10/09/2008","","","","","Erie Concrete & Steel Supply Co.","06/01/1942","","10/02/1942","","03/01/1943","","08/01/1943","","","12/11/2000","133 ft","132 ft","30 ft","30 ft","9 ft","10 ft","300 tons","650 tons","350 tons","Steel hull, steel superstructure.","2","","","1","13","","","","","","09/29/2015"
"YFRT 521","NO NAME","NO NAME (YFRT 521)","(ex - T 440)","RANGE TENDER (S-P)","YFRT 521","18521","Disposed of, by Navy Sale","","08/01/1973","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","08/31/2001"
"YFRT 522","NO NAME","NO NAME (YFRT 522)","(ex - T 441)","RANGE TENDER (S-P)","YFRT 521","22758","Disposed of, type of disposal not known","","01/01/1973","","","","","General Dynamics, National Steel & Shipbuilding Corp.","","","","","","","06/01/1953","","","","133 ft","","","","","","300 tons","","","Steel hull, steel superstructure.","","","","","","","","","","","08/21/2019"
"YFRT 523","NO NAME","NO NAME (YFRT 523)","(ex - YF 852)","RANGE TENDER (S-P)","","18852","Stricken, to be disposed of in support of Fleet training exercise","","04/03/1986","","X","","","","","","","","","","","","","04/03/1986","133 ft","","","","","","300 tons","","","Steel hull, steel superstructure.","2","","","","","US NAVY","","","","","08/10/2004"
"YFU 4","NO NAME","NO NAME (YFU 4)","(ex - LCU 562)","HARBOR UTILITY CRAFT (S-P)","YFU 1","52599","Disposed of, by Navy Sale","","02/01/1976","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","08/29/2000"
"YFU 8","NO NAME","NO NAME (YFU 8)","(ex - LCU 664)","HARBOR UTILITY CRAFT (S-P)","YFU 1","52535","Disposed of in support of Fleet training exercise","","02/01/1972","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","US NAVY","","","","","08/31/2001"
"YFU 18","NO NAME","NO NAME (YFU 18)","(ex - LCU 869)","HARBOR UTILITY CRAFT (S-P)","YFU 1","52616","Disposed of, by Navy Sale","","02/01/1973","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","08/31/2001"
"YFU 20","NO NAME","NO NAME (YFU 20)","(ex - LSU 960, LCU 960)","HARBOR UTILITY CRAFT (S-P)","YFU 1","52619","Stricken, to be disposed of, type of disposal not known","","10/01/1970","","X","","","","","","","","","","","","","10/01/1970","","","","","","","","","","","","","","","","US NAVY","","","","","12/05/2001"
"YFU 39","NO NAME","NO NAME (YFU 39)","(ex - LCU 1363)","HARBOR UTILITY CRAFT (S-P)","YFU 1","52274","Disposed of, by Navy Sale","","10/01/1974","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","08/31/2001"
"YFU 44","NO NAME","NO NAME (YFU 44)","(ex - LCU 1398)","HARBOR UTILITY CRAFT (S-P)","YFU 1","52518","Disposed of, by Navy Sale","","04/01/1978","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","08/29/2000"
"YFU 50","NO NAME","NO NAME (YFU 50)","(ex - LCU 1486)","HARBOR UTILITY CRAFT (S-P)","YFU 1","52666","Reclassed to combatant craft or boat","","09/01/1985","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","US NAVY","","","","","09/12/2000"
"YFU 52","NO NAME","NO NAME (YFU 52)","(ex - LCU 743)","HARBOR UTILITY CRAFT (S-P)","YFU 1","20361","Disposed of, by Navy Sale","","11/01/1972","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","08/31/2001"
"YFU 53","NO NAME","NO NAME (YFU 53)","(ex - LCU 1446)","HARBOR UTILITY CRAFT (S-P)","YFU 1","52520","Disposed of, by Navy Sale","","07/01/1977","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","09/12/2000"
"YFU 55","NO NAME","NO NAME (YFU 55)","(ex - LCU 637)","HARBOR UTILITY CRAFT (S-P)","YFU 1","52256","Disposed of, by Navy Sale","","04/01/1978","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","08/29/2000"
"YFU 56","NO NAME","NO NAME (YFU 56)","(ex - LCU 646)","HARBOR UTILITY CRAFT (S-P)","YFU 1","52531","Disposed of through the Security Assistance Program (SAP), Foreign Military Sale or Lease","","05/01/1972","","","","","Bison Shipbuilding Corp.","06/01/1943","","01/01/1944","","01/01/1944","","01/01/1944","","","","116 ft","105 ft","33 ft","32 ft","5 ft","4 ft","160 tons","320 tons","160 tons","Steel hull, steel superstructure.","3","","","","20","KHMER REPUBLIC, (FORMERLY CAMBODIA)","","","","","04/03/2006"
"YFU 57","NO NAME","NO NAME (YFU 57)","(ex - LCU 709)","HARBOR UTILITY CRAFT (S-P)","YFU 1","52260","Disposed of by transfer to other Government Agencies, States. Schools, Sea Scouts, etc.","","01/01/1976","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GENERAL SERVICES ADMINISTRATION","","","","","08/29/2000"
"YFU 58","NO NAME","NO NAME (YFU 58)","(ex - LCU 716)","HARBOR UTILITY CRAFT (S-P)","YFU 1","52608","Disposed of, by Navy Sale","","07/01/1973","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","08/31/2001"
"YFU 59","NO NAME","NO NAME (YFU 59)","(ex - LCU 776)","HARBOR UTILITY CRAFT (S-P)","YFU 1","52543","Disposed of, by Navy Sale","","07/01/1973","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","08/31/2001"
"YFU 60","NO NAME","NO NAME (YFU 60)","(ex - LCU 851)","HARBOR UTILITY CRAFT (S-P)","YFU 1","52551","Disposed of, by Navy Sale","","07/01/1973","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","08/31/2001"
"YFU 67","NO NAME","NO NAME (YFU 67)","(ex - LCU 1232)","HARBOR UTILITY CRAFT (S-P)","YFU 1","52573","Stricken, to be disposed of by Navy sale","","04/01/1976","","X","","","","","","","","","","","","","04/01/1976","116 ft","","","","","","160 tons","","","Steel hull, steel superstructure.","","","","","","US NAVY","","","","","12/05/2001"
"YFU 68","NO NAME","NO NAME (YFU 68)","(ex - LCU 1385)","HARBOR UTILITY CRAFT (S-P)","YFU 1","52591","Disposed of through the Security Assistance Program (SAP), Foreign Military Sale or Lease","","05/01/1972","","","","","Naval Shipyard Mare Island","04/01/1944","","10/01/1944","","12/01/1944","","12/01/1944","","","","116 ft","105 ft","33 ft","32 ft","5 ft","4 ft","160 tons","320 tons","160 tons","Steel hull, steel superstructure.","3","","","","20","KHMER REPUBLIC, (FORMERLY CAMBODIA)","","","","","04/03/2006"
"YFU 71","NO NAME","NO NAME (YFU 71)","","HARBOR UTILITY CRAFT (S-P)","YFU 71","20686","Disposed of by transfer to other Government Agencies, States. Schools, Sea Scouts, etc.","","05/24/1985","","","","","Pacific Coast Engineering Co.","10/20/1966","","12/21/1966","","07/10/1967","","10/14/1967","","","12/01/1984","125 ft","","","","","","220 tons","","","Steel hull, steel superstructure.","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","05/02/2000"
"YFU 72","NO NAME","NO NAME (YFU 72)","","HARBOR UTILITY CRAFT (S-P)","YFU 71","20687","Disposed of by transfer to other Government Agencies, States. Schools, Sea Scouts, etc.","","05/24/1985","","","","","Pacific Coast Engineering Co.","10/20/1966","","01/01/1967","","08/16/1967","","10/24/1967","","","12/01/1984","125 ft","","","","","","220 tons","","","Steel hull, steel superstructure.","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","05/02/2000"
"YFU 73","NO NAME","NO NAME (YFU 73)","","HARBOR UTILITY CRAFT (S-P)","YFU 71","20688","Disposed of through the Security Assistance Program (SAP), Foreign Military Sale or Lease","","04/01/1970","","","","","Pacific Coast Engineering Co.","10/20/1966","","01/11/1967","","09/22/1967","","11/20/1967","","","","125 ft","","36 ft","","","","220 tons","380 tons","160 tons","Steel hull, steel superstructure.","2","","","2","10","KHMER REPUBLIC, (FORMERLY CAMBODIA)","","","","","04/03/2006"
"YFU 74","NO NAME","NO NAME (YFU 74)","","HARBOR UTILITY CRAFT (S-P)","YFU 71","20689","Disposed of by transfer to other Government Agencies, States. Schools, Sea Scouts, etc.","","12/01/1986","","","","","Pacific Coast Engineering Co.","10/20/1966","","02/15/1967","","10/24/1967","","12/21/1967","","","","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","03/15/1999"
"YFU 75","NO NAME","NO NAME (YFU 75)","","HARBOR UTILITY CRAFT (S-P)","YFU 71","20690","Disposed of by transfer to other Government Agencies, States. Schools, Sea Scouts, etc.","","12/01/1986","","","","","Pacific Coast Engineering Co.","10/20/1966","","03/27/1967","","11/15/1967","","01/25/1968","","","","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","03/15/2000"
"YFU 76","NO NAME","NO NAME (YFU 76)","","HARBOR UTILITY CRAFT (S-P)","YFU 71","20691","Disposed of by Donation through GSA","","08/30/1985","","","","","Pacific Coast Engineering Co.","10/20/1966","","05/10/1967","","12/29/1967","","","","","","125 ft","","","","","","220 tons","","","Steel hull, steel superstructure.","","","","","","US DEPARTMENT OF THE INTERIOR","","","","","07/11/2008"
"YFU 77","NO NAME","NO NAME (YFU 77)","","HARBOR UTILITY CRAFT (S-P)","YFU 71","14627","Disposed of by Donation through GSA","","08/30/1985","","","","","Pacific Coast Engineering Co.","06/01/1967","","10/20/1967","","03/28/1968","","05/17/1968","","","12/01/1984","125 ft","","36 ft","","6 ft","","220 tons","","","Steel hull, steel superstructure.","","","","","","US DEPARTMENT OF THE INTERIOR","","","","","07/30/2002"
"YFU 80","NO NAME","NO NAME (YFU 80)","","HARBOR UTILITY CRAFT (S-P)","YFU 71","20637","Disposed of, by Navy Sale","","12/01/1977","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","03/15/1999"
"YFU 81","NO NAME","NO NAME (YFU 81)","","HARBOR UTILITY CRAFT (S-P)","YFU 71","20638","Disposed of through the Security Assistance Program (SAP), Foreign Military Sale or Lease","","05/21/2004","","","","","Pacific Coast Engineering Co.","06/01/1967","","05/01/1968","","07/01/1968","","09/01/1968","","","01/21/2004","125 ft","","36 ft","","","","220 tons","380 tons","160 tons","Steel hull, steel superstructure.","2","","","2","10","PANAMA","","","","","06/06/2006"
"YFU 83","NO NAME","NO NAME (YFU 83)","","HARBOR UTILITY CRAFT (S-P)","YFU 83","22759","Disposed of by Dismantling (Scrapping/Recycling)","","02/20/2005","","","","","Defoe Shipbuilding Co.","03/01/1970","","10/01/1970","","02/01/1971","","04/01/1971","","","10/28/2002","134 ft","","29 ft","","","","220 tons","","","Steel hull, steel superstructure.","2","","Diesel Engines","","8","","","","","","12/12/2017"
"YFU 88","NO NAME","NO NAME (YFU 88)","(ex - LCU 1471)","HARBOR UTILITY CRAFT (S-P)","","52654","Reclassed to combatant craft or boat","","08/01/1972","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","US NAVY","","","","","09/08/2000"
"YFU 89","NO NAME","NO NAME (YFU 89)","(ex - LCU 1576)","HARBOR UTILITY CRAFT (S-P)","","52802","Disposed of by transfer to other Government Agencies, States. Schools, Sea Scouts, etc.","","01/01/1976","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GENERAL SERVICES ADMINISTRATION","","","","","03/24/2000"
"YFU 91","NO NAME","NO NAME (YFU 91)","(ex - LSU 1486, LCU 1608)","HARBOR UTILITY CRAFT (S-P)","YFU 91","22760","Disposed of by Donation for use as Artificial Reefing","","09/30/2003","","","","","Bethlehem Steel Co., Shipbuilding Div.","06/01/1956","","02/01/1957","","06/01/1957","","07/01/1957","","","10/28/2002","115 ft","106 ft","35 ft","4 ft","5 ft","5 ft","196 tons","413 tons","217 tons","Steel hull, aluminum superstructure.","3","","Diesel Engines","2","11","","","","","","09/27/2017"
"YFU 93","NO NAME","NO NAME (YFU 93)","(ex - LCU 1625)","HARBOR UTILITY CRAFT (S-P)","","40589","Disposed of, by Navy Sale","","08/01/1979","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","08/31/2001"
"YFU 94","NO NAME","NO NAME (YFU 94)","(ex - LCU 1488)","HARBOR UTILITY CRAFT (S-P)","","52668","Reclassed to combatant craft or boat","","10/01/1972","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","US NAVY","","","","","09/08/2000"
"YFU 95","NO NAME","NO NAME (YFU 95)","","HARBOR UTILITY CRAFT (S-P)","","52671","Reclassed to combatant craft or boat","","08/01/1972","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","US NAVY","","","","","03/15/2004"
"YFU 96","NO NAME","NO NAME (YFU 96)","(ex - LCU 1609)","HARBOR UTILITY CRAFT (S-P)","","52682","Disposed of, by Navy Sale","","07/01/1975","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","08/31/2001"
"YFU 98","NO NAME","NO NAME (YFU 98)","(ex - LCU 1615)","HARBOR UTILITY CRAFT (S-P)","","","Disposed of in support of Fleet training exercise","","11/15/1986","","","","","","","","","","","","","","","03/01/1986","","","","","","","","","","","","","","","","","","","","","03/24/2003"
"YFU 99","NO NAME","NO NAME (YFU 99)","","HARBOR UTILITY CRAFT (S-P)","","52239","Disposed of, by Navy Sale","","07/01/1977","","","","","","","","","","","","","","","10/10/1976","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","08/26/2013"
"YFU 100","NO NAME","NO NAME (YFU 100)","(ex - LCU 1610)","HARBOR UTILITY CRAFT (S-P)","","","Disposed of by Dismantling (Scrapping/Recycling)","","02/20/2005","","","","","","","","","","","","","","","06/18/1991","","","","","","","","","","","","","","","","","","","","","12/12/2017"
"YFU 101","NO NAME","NO NAME (YFU 101)","(ex - LCU 1612)","HARBOR UTILITY CRAFT (S-P)","","","Stricken, to be disposed of in support of Fleet training exercise","","03/03/1986","","X","","","","","","","","","","","","","03/03/1986","","","","","","","","","","","","","","","","US NAVY","","","","","08/10/2004"
