"Hull","Name","Name (Hull)","Ship Alt Title","Ship Type","Class","UIC","Status","Fleet","Date Status Last Changed","Homeport","Maintenance Category","Berth","Force","Builder","Award Date","Commission Date","Keel Date","Inactivation Date","Launch Date","Decommission Date","Delivery Date","InService Date","Out Service Date","Stricken Date","Overall Length","Waterline Length","Extreme Beam","Waterline Beam","Max Navigational Draft","Draft Limit","Light Displacement","Full Displacement","Dead Weight","Hull Material","No. of Propellers","No. of Waterjets","Propulsion Type","Accommodations Officers","Accommodations Enlisted","Custodian","Planning Yard","Nuclear Planning Yard","Ships Program Manager","Comments","Last Updated"
"LPA 208","TALLEDEGA","TALLEDEGA (LPA 208)","(ex - APA 208)","AMPHIBIOUS TRANSPORT","LPA 117","01738","Disposed of by MARAD exchange","","05/26/1982","","","","","","","","","","","","","","","09/01/1976","","","","","","","","","","","","","","","","MARITIME ADMINISTRATION (NATIONAL DEFENSE RESERVE FLEET)","","","","","03/05/2007"
"AOT 50","TALLULAH","TALLULAH (AOT 50)","(ex - AO 50)","TRANSPORT OILER","AOT 49","04900","Disposed of by MARAD exchange","","02/02/1987","","","","","Sun Shipbuilding & Dry Dock Co.","","09/05/1942","12/01/1941","","06/25/1942","","07/30/1942","","","03/31/1986","","","","","","","","","","","","","Diesel","","","MARITIME ADMINISTRATION (NATIONAL DEFENSE RESERVE FLEET)","","","","","12/28/2001"
"AO 62","TALUGA","TALUGA (AO 62)","(ex - MC 728)","FLEET REPLENISHMENT OILER","AO 22","04962","Disposed of by Navy title transfer to the Maritime Administration","","05/01/1999","","","Suisun Bay Reserve Fleet, Benecia, CA","","Bethlehem Steel Corp.","","08/25/1944","12/23/1943","","07/10/1944","","","","","02/21/1992","","","","","","","","","","","","","Steam Turbine","","","MARITIME ADMINISTRATION (NATIONAL DEFENSE RESERVE FLEET)","","","","","08/16/2016"
"YTB 797","TAMAQUA","TAMAQUA (YTB 797)","","LARGE HARBOR TUG (S-P)","YTB 760","12618","Disposed of by Dismantling (Scrapping/Recycling)","","10/18/2005","","","","","Marinette Marine Corp.","06/15/1967","","01/16/1968","","08/14/1968","","01/26/1969","","","05/25/2005","109 ft","101 ft","31 ft","29 ft","14 ft","13 ft","283 tons","343 tons","60 tons","Steel hull, steel superstructure.","1","","Diesel Engine","","12","","","","","","12/12/2017"
"SS 306","TANG","TANG (SS 306)","","SUBMARINE","SS 285","","Lost by accident","","10/24/1944","","","","","Naval Shipyard Mare Island","12/15/1941","10/15/1943","01/15/1943","","08/17/1943","","11/30/1943","","","02/08/1945","312 ft","307 ft","27 ft","","17 ft","","1470 tons","2040 tons","570 tons","Steel hull, steel superstructure.","2","","Diesel Electric","10","68","US NAVY","","","","","08/04/1999"
"SS 563","TANG","NO NAME (SS 563)","","SUBMARINE","","05563","Reclassed, hull reclassed to - AGSS","","06/01/1975","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","US NAVY","","","","","07/08/1997"
"SSN 805","TANG","TANG (SSN 805)","","SUBMARINE (NUCLEAR-POWERED)","SSN 774","","Under construction","","07/01/2021","","","","","General Dynamics Electric Boat","12/02/2019","","","","","","","","","","","","","","","","","","","","","","Steam Turbine (Nuclear)","","","","General Dynamics Electric Boat","","PMS 450","","11/15/2021"
"AGS 40","TANNER","TANNER (AGS 40)","","SURVEYING SHIP","AGS 39","21635","Disposed of by Navy title transfer to the Maritime Administration","","01/11/1995","","","Castine, ME","","Bethlehem Steel Corp.","06/28/1985","","10/22/1986","","02/28/1989","","08/31/1990","","","10/01/1993","","","","","","","","","","","","","","","","MARITIME ADMINISTRATION (NATIONAL DEFENSE RESERVE FLEET)","","","","","02/18/1999"
"AO 43","TAPPAHANNOCK","TAPPAHANNOCK (AO 43)","(ex - MC 157)","FLEET REPLENISHMENT OILER","AO 41","04893","Disposed of by MARAD exchange","","02/02/1987","","","","","SUN SB CO","","06/22/1942","12/24/1941","","04/18/1942","","","","","07/15/1976","","","","","","","","","","","","","Steam Turbine","","","MARITIME ADMINISTRATION (NATIONAL DEFENSE RESERVE FLEET)","","","","","08/16/2016"
"LHA 1","TARAWA","TARAWA (LHA 1)","","AMPHIBIOUS ASSAULT SHIP (GENERAL PURPOSE)","LHA 1","20550","Inactive, Out of Commission, in reserve","","03/31/2009","","B","NAVSEA Inactive Ships On-site Maintenance Office, Pearl Harbor, HI","","Ingalls Shipbuilding Corp.","05/01/1969","05/29/1976","11/15/1971","03/31/2009","12/01/1973","03/31/2009","05/14/1976","","","","820 ft","778 ft","106 ft","106 ft","27 ft","27 ft","26255 tons","39925 tons","13670 tons","Steel hull, aluminum superstructure.","2","","Steam Turbines","86","979","NAVSEA INACTIVE SHIPS ON-SITE MAINTENANCE OFFICE, PEARL HARBOR, HI","","","","TARAWA, LHA 1 HELD A DECOMMISSIONING CERMONY ON 4 DEC 08. SHE WILL OFFICIALLY DECOMMISSION ON 31 MAR 09.","10/01/2015"
"YTM 372","TATARRAY","TATARRAY (YTM 372)","(ex - YT-372, YTB 372)","MEDIUM HARBOR TUG (S-P)","YTM 174","13372","Disposed of, by Navy Sale","","03/01/1974","","","","","","","05/15/1944","","","04/08/1944","","05/15/1944","","","05/01/1973","120 ft","","24 ft","","10 ft","","206 tons","","","Steel hull, steel superstructure.","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","02/01/2001"
"ATA 195","TATNUCK","TATNUCK (ATA 195)","(ex - ATR 122)","AUXILIARY OCEAN TUG","ATA 174","08122","Disposed of, by Navy Sale","","06/01/1979","","","","","","","","","","","","","","","10/01/1977","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","12/10/2001"
"APD 19","TATTNALL","TATTNALL (APD 19)","(ex - DD 125)","HIGH SPEED TRANSPORT","DD 75","","Disposed of by Dismantling (Scrapping/Recycling)","","","","","","","New York Shipbuilding Corp.","07/11/1917","06/26/1919","12/01/1917","","09/05/1918","12/17/1945","06/26/1919","","","01/08/1946","314 ft","","31 ft","","9 ft","","","","","Steel hull, steel superstructure.","2","","","","","","","","","","12/12/2017"
"DDG 19","TATTNALL","TATTNALL (DDG 19)","","GUIDED MISSILE DESTROYER","DDG 2","04685","Disposed of, resold by Defense Reutilization and Marketing Service (DRMS) for scrapping","","02/10/1999","","","","","AVONDALE MARINE WAYS INC","07/21/1959","04/13/1963","11/14/1960","","08/26/1961","01/18/1991","03/29/1963","","","01/12/1993","","","","","","","","","","","","","Steam Turbines","","","","","","","DISMANTLED AT INTERNATIONAL SHIPBREAKING LIMITED, BROWNSVILLE, TX. ON 22 MAR 00.","01/16/2007"
"APD 81","TATUM","TATUM (APD 81)","(ex - DE 789)","HIGH SPEED TRANSPORT","APD 37","53789","Disposed of by Dismantling (Scrapping/Recycling)","","05/08/1961","","","","","Consolidated Steel Corp. of Texas","11/11/1942","11/22/1943","04/22/1943","","08/07/1943","11/15/1946","11/22/1943","","","06/01/1960","306 ft","300 ft","37 ft","36 ft","9 ft","","","","","Steel hull, steel superstructure.","2","","","","","","","","","","12/12/2017"
"PHM 3","TAURUS","TAURUS (PHM 3)","","PATROL COMBATANT MISSILE (HYDROFOIL)","PHM 1","20929","Disposed of, by Navy Sale","","08/19/1996","","","","","BOEING CO/SEATTLE","10/20/1977","10/10/1981","01/30/1979","","05/08/1981","07/30/1993","10/07/1981","","","07/30/1993","133 ft","118 ft","29 ft","25 ft","7 ft","3 ft","175 tons","245 tons","70 tons","All aluminum hull.","","","Geared Turbine","5","19","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","03/15/1999"
"DD 746","TAUSSIG","TAUSSIG (DD 746)","","DESTROYER","DD 692","03846","Disposed of through the Security Assistance Program (SAP), transferred, cash sale, ex-US fleet hull foreign military sale case number assigned","","04/01/1974","","","","","","","","","","","","","","","09/01/1973","","","","","","","","","","","","","","","","TAIWAN","","","","","12/31/2001"
